Ticker,Company,Price,Change,EPS,PE Ratio (ttm),Market Cap. (Million IDR)
BIKA,PT. Binakarya Jaya Abadi Tbk,250.0,"6 (2,46%)",-29.0,-9.0,148000.0
ASJT,PT. Asuransi Jasa Tania Tbk,252.0,"6 (2,44%)",23.0,11.0,151200.0
TIRA,PT. Tira Austenite Tbk,260.0,"50 (23,81%)",2.0,169.0,152880.0
LPIN,PT. Multi Prima Sejahtera Tbk,1450.0,"280 (23,93%)",302.0,5.0,153700.0
PICO,PT. Pelangi Indah Canindo Tbk,280.0,"0 (0,00%)",31.0,9.0,159040.0
LPLI,PT. Star Pacific Tbk,136.0,"-4 (-2,86%)",-69.0,-2.0,159120.0
TMPO,PT. Tempo Inti Media Tbk,152.0,"-20 (-11,63%)",1.0,192.0,160816.0
SKYB,PT. Northcliff Citranusa Indonesia Tbk,284.0,"2 (0,71%)",-3.0,-102.0,166140.0
ARTA,PT. Arthavest Tbk,376.0,"-10 (-2,59%)",10.0,39.0,167696.0
BTON,PT. Betonjaya Manunggal Tbk,236.0,"-16 (-6,35%)",52.0,5.0,169920.0
ERTX,PT. Eratex Djaja Tbk,133.0,"-1 (-0,75%)",24.0,5.0,171038.0
AHAP,PT. Asuransi Harta Aman Pratama Tbk,61.0,"0 (0,00%)",-19.0,-3.0,179340.0
BAJA,PT. Saranacentral Bajatama Tbk,100.0,"-5 (-4,76%)",-53.0,-2.0,180000.0
ALKA,PT. Alakasa Industrindo Tbk,358.0,"-12 (-3,24%)",45.0,8.0,181506.0
KPAL,PT. Steadfast Marine Tbk,184.0,"-4 (-2,13%)",1.0,145.0,182528.0
APII,PT. Arita Prima Indonesia Tbk,170.0,"0 (0,00%)",33.0,5.0,182750.0
AKSI,PT. Majapahit Inti Corpora Tbk,254.0,"4 (1,60%)",11.0,23.0,182880.0
TIFA,PT. Tifa Finance Tbk,175.0,"2 (1,16%)",29.0,6.0,188825.0
PGLI,PT. Pembangunan Graha Lestari Indah Tbk,390.0,"0 (0,00%)",21.0,18.0,190320.0
SOTS,PT. Satria Mega Kencana Tbk,191.0,"-9 (-4,50%)",-29.0,-7.0,191000.0
ARTO,PT. Bank Artos Indonesia Tbk,160.0,"0 (0,00%)",-11.0,-14.0,191040.0
ASDM,PT. Asuransi Dayin Mitra Tbk,1020.0,"-20 (-1,92%)",100.0,10.0,195840.0
RIGS,PT. Rig Tenders Indonesia Tbk,322.0,"-4 (-1,23%)",53.0,6.0,196098.0
MIRA,PT. Mitra International Resources Tbk,50.0,"0 (0,00%)",2.0,27.0,198050.0
LAPD,PT. Leyand International Tbk,50.0,"0 (0,00%)",-9.0,-6.0,198300.0
RUIS,PT. Radiant Utama Interinsco Tbk,258.0,"-2 (-0,77%)",35.0,7.0,198660.0
ESTI,PT. Ever Shine Textile Tbk,99.0,"-1 (-1,00%)",-8.0,-12.0,199485.0
HOME,PT. Hotel Mandarine Regency Tbk,90.0,"0 (0,00%)",-11.0,-8.0,203940.0
NICK,PT. Charnic Capital Tbk,322.0,"0 (0,00%)",11.0,29.0,209622.0
KOIN,PT. Kokoh Inti Arebama Tbk,220.0,"40 (22,22%)",-14.0,-16.0,215600.0
DSFI,PT. Dharma Samudera Fishing Industries Tbk,121.0,"-2 (-1,63%)",5.0,26.0,224697.0
TRIS,PT. Trisula International Tbk,228.0,"0 (0,00%)",6.0,38.0,238716.0
TRUS,PT. Trust Finance Indonesia Tbk,300.0,"0 (0,00%)",22.0,14.0,240000.0
YULE,PT. Yulie Sekuritas Indonesia Tbk,136.0,"0 (0,00%)",6.0,25.0,242760.0
CLPI,PT. Colorpak Indonesia Tbk,805.0,"0 (0,00%)",54.0,15.0,246330.0
RBMS,PT. Ristia Bintang Mahkotasejati Tbk,93.0,"4 (4,49%)",1.0,64.0,247008.0
CPRI,PT. Capri Nusa Satu Properti Tbk,103.0,"2 (1,98%)",-24.0,-4.0,250599.0
MDRN,PT. Modern Internasional Tbk,50.0,"0 (0,00%)",1.0,72.0,251600.0
LPPS,PT. Lippo Securities Tbk,98.0,"-2 (-2,00%)",15.0,7.0,253624.0
LEAD,PT. Logindo Samudramakmur Tbk,63.0,"-5 (-7,35%)",-33.0,-2.0,255087.0
MICE,PT. Multi Indocitra Tbk,440.0,"-8 (-1,79%)",55.0,8.0,264000.0
BBRM,PT. Pelayaran Nasional Bina Buana Raya Tbk,50.0,"0 (0,00%)",-20.0,-2.0,268350.0
